,year,month,min,max,mean,median,std
0,1923,4,131.4290009,353.8389893,224.1985139,222.9735031,52.74399258
0,1923,5,7.166999817,48.40100098,25.69350001,26.45600033,11.90734281
0,1923,6,3.029000044,38.22200012,15.3765001,10.68249989,11.1482349
0,1923,7,0,9.744000435,0.339756102,0,1.490846718
0,1923,8,0,13.51900005,0.558804877,0,1.973109856
0,1923,9,18.36100006,125.3040009,60.28606084,58.08799934,24.93628874
0,1923,10,15.69299984,56.625,39.66315852,40.3920002,9.57705571
0,1923,11,10.28999996,18.71899986,13.40904879,12.5625,2.25436488
0,1923,12,34.89400101,148.7890015,92.91631745,93.25950241,29.62525414
0,1924,1,58.93199921,117.2949982,84.10007328,82.5304985,15.17135794
0,1924,2,52.10599899,89.0530014,74.16018281,75.36749649,9.36115974
0,1924,3,47.55599976,133.2949982,87.56679246,88.7840004,21.20613814
0,1924,4,12.71000004,56.01200104,30.05550016,29.34400082,10.73470347
0,1924,5,2.352999926,2.660000086,2.540024385,2.54400003,0.059858167
0,1924,6,0,0,0,0,0
0,1924,7,0,0,0,0,0
0,1924,8,0,0,0,0,0
0,1924,9,0,18.65299988,1.684536572,0,4.075175988
0,1924,10,71.73400116,194.7440033,147.6847317,147.7874985,32.97738874
0,1924,11,47.99700165,105.5110016,75.74699983,74.2519989,15.45600506
0,1924,12,114.7080002,261.3819885,190.6270725,190.723999,39.75307675
0,1925,1,30.47500038,91.06600189,56.99971943,56.00250053,16.07648746
0,1925,2,164.2969971,415.8200073,319.5936235,324.7850037,72.40150584
0,1925,3,54.08000183,178.1499939,112.1729145,114.093502,33.30595481
0,1925,4,76.24900055,247.3769989,153.2192562,155.4179993,42.88720785
0,1925,5,49.53900146,61.04700089,55.85697551,55.60300064,2.195607602
0,1925,6,2.263999939,46.16600037,20.39515853,15.33200026,14.24284566
0,1925,7,0.949000001,19.38299942,3.005219508,1.583000004,3.244584213
0,1925,8,0,31.76000023,1.516341472,0,4.85009977
0,1925,9,3.719000101,46.20399857,21.6787561,21.17199993,9.004917374
0,1925,10,5.612999916,76.6969986,41.54174355,41.61050034,19.07685457
0,1925,11,37.82600021,108.6900024,72.96543884,70.89149857,18.75277542
0,1925,12,48.16600037,91.17900085,70.82580469,72.20949936,11.58281
0,1926,1,87.48200226,147.220993,113.1095124,111.4290009,17.42471398
0,1926,2,166.8410034,314.1029968,254.8017922,254.2160034,42.58941819
0,1926,3,3.421999931,12.15200043,7.095353647,6.652999878,2.694801055
0,1926,4,124.9160004,208.3280029,156.1743409,152.4085007,21.09916058
0,1926,5,13.42399979,56.15000153,30.47437814,28.39949989,10.75602476
0,1926,6,0,11.4630003,1.53934148,0,2.968033773
0,1926,7,0,0,0,0,0
0,1926,8,0,0,0,0,0
0,1926,9,0,0.032000002,0.000682927,0,0.00394127
0,1926,10,41.2519989,62.29399872,52.65358543,53.50900078,5.540347912
0,1926,11,172.6049957,483.7210083,325.4162551,321.82901,81.58851092
0,1926,12,29.3010006,100.3830032,62.6909266,62.07349968,18.70988687
0,1927,1,84.31800079,260.1109924,166.2818656,165.602005,46.47288373
0,1927,2,159.447998,365.0920105,284.4623171,286.7150116,59.27717275
0,1927,3,50.3390007,163.6710052,104.2219874,103.7265015,28.96493202
0,1927,4,72.99500275,219.6580048,137.7349632,138.0514984,34.3955708
0,1927,5,11.84300041,65.66300201,35.68710966,34.74749947,14.39319056
0,1927,6,11.44400024,29.38800049,18.3904391,16.42549992,5.610161146
0,1927,7,0,0,0,0,0
0,1927,8,0,0,0,0,0
0,1927,9,0,8.409999847,2.2647317,1.345000029,2.441144898
0,1927,10,43.31600189,120.5400009,80.57702441,80.00450134,21.1443545
0,1927,11,83.75499725,219.5299988,152.087902,151.4654999,35.28156047
0,1927,12,75.40299988,176.201004,130.8872198,134.4899979,26.12856004
0,1928,1,44.32899857,115.375,74.9674999,72.25500107,17.99395089
0,1928,2,50.25799942,120.0469971,89.10698774,90.98749924,20.21347143
0,1928,3,155.8200073,541.5770264,337.7792087,340.5370026,99.39362952
0,1928,4,42.14199829,149.6459961,87.94109777,87.71350098,26.75828724
0,1928,5,1.909999967,6.699999809,3.87028048,3.871500015,0.781814153
0,1928,6,0,11.9090004,4.546451223,3.710500002,3.981299134
0,1928,7,0,0.026000001,0.000365854,0,0.002864894
0,1928,8,0,0,0,0,0
0,1928,9,0,0,0,0,0
0,1928,10,1.804999948,7.471000195,4.212439033,3.908499956,1.573488584
0,1928,11,87.33699799,139.9080048,110.2771343,110.0094986,15.48352183
0,1928,12,80.76000214,156.0789948,117.8679018,116.9025002,19.87035607
0,1929,1,39.42100143,138.3690033,86.0069147,86.43700027,28.70187844
0,1929,2,48.85100174,141.4629974,103.483354,103.6474991,26.35365371
